Arusha,Chawakua,2018
Arusha,Umati Youth Center,2094
Arusha,World Vision Tz,2007
Arusha,LADO-Laramatak Dev. Organisation,2049
Pwani,Faraja Orphans Support Rai. Centre,2031
Pwani,Imani Home Based Care & Training Centre,1940
Dodoma,CMCR Tanzania,2024
Dodoma,AFRICARE Dodoma Community based Orphans Care protection & Empowerment (COPE),165
Dodoma,CBHI - Community Based Health Innitiative,161
Dodoma,"ImageYouth Development Grpup 1999, DONET (Dodoma Environment Network)",1938
Dodoma,INADES Dodoma,163
Dodoma,Relief Development Foundation,2087
Iringa,SPW (Community Resources Programme),2
Kagera,Tanzania Dev. & Aids Prevention,2076
Kigoma,Kigoma Vijana Dev. Association,1944
Kigoma,CEFODEC,1987
Kilimanjaro,KINSHAI Kilimanjaro Cluster,2041
Manyara,Charitable Harambee Educ. Society,1976
Manyara,LADO-Laramatak Dev. Organisation,2049
Mara,CODERT Bunda,2025
Mara,Buhemba Rural Agricultural Centre (BRAC),2123
Mara,North Mara Mine,23
Mbeya,"MIICO (Mbozi Ileje, Isangati Consortum)",2125
Morogoro,Tumaini - Dumila,2092
Morogoro,HUDESA,2037
Morogoro,UWAMAKO Kilosa,152
Morogoro,CHAYODE,149
Morogoro,Mapinduzi Cultural Centre,148
Morogoro,Mwamo,150
Morogoro,Faraja Trust Fund,151
Mwanza,"Adilisha Child, Youth dev. & Family Preservation",1925
Ruvuma,St. Teresa Orphan Foundation,70
Ruvuma,TUFAE (Tunduru Forum For Aids Education),54
Singida,SIWOLIHA (Singida Woman Living With HIV/AIDS),2065
Singida,WEGCC (Women Economic Groups Coordinating Council),2103
Tabora,TEYODA (Tabora Elders & Youth Dev. Association),1963
Tanga,TAYODEA (Tanga Youth Dev. Ass.),1964
Zanzibar,ANGOZA,2012
Zanzibar,Action Aid,1980
Zanzibar,Aga Khan Cultural Centre,1926
Zanzibar,University of Dar es salaam (Marine),2174
Zanzibar,Women Enterpreneurship Dev. Trust Fund (WEDTF),2104
Zanzibar,Znz Association of Information Against Drugs Abuse,2110
Zanzibar,CARE International,1986
Zanzibar,Changamoto Preservation Fund,1931
Zanzibar,College of Health Science Education,2165
Zanzibar,The State University of ZNZ (SUZA),2172
Zanzibar,NGO Resource Centre,1941
Zanzibar,Al-Rahma Medical Centre,1974
Zanzibar,Save the Children,2003
Zanzibar,SOS Children's Village,2126
Zanzibar,Stone Town Youth Centre,1962
Zanzibar,WHO,2006
Zanzibar,Zanzibar Aids Commission (ZAC),2163
Zanzibar,Zanzibar Association of people with HIV and AIDS,2107
Zanzibar,Marie Stopes Tanzania,1995
Zanzibar,Zanzibar Association for Children Advancement,2109
Pemba,Zanzibar Teachers Union (ZATU),2168
Pemba,Family Planning Program,2176
Kilimanjaro,KWIEKO,2045
Mtwara,SHIKUM - Newala,2064
Ruvuma,WIDA (Wino Dev. Association),2102
Ruvuma,Health Dev. Foundation,2034
Pemba,Region coverage,2252,REALLY NAIROBI
Pemba,Pemba Investment and Youth dev. Organisation,2250
Zanzibar,UWZ,2100
